Gender,Age,ReligionFaith,RCI1,RCI2,RCI3,RCI4,RCI5,RCI6,RCI7,RCI8,RCI9,RCI10,HFS1,HFS2,HFS3,HFS4,HFS5,HFS6,HFS7,HFS8,HFS9,HFS10,HFS11,HFS12,HFS13,HFS14,HFS15,HFS16,HFS17,HFS18,DV1,DV2,DV3,PT1,PT2,PT3,HFS2r,HFS4r,HFS6r,HFS7r,HFS9r,HFS11r,HFS13r,HFS15r,HFS17r,TotalRCI,TotalDV,TotalPT,TotalHFS,TotalHFSSelf
1,32,Buddhist,3,1,2,3,2,1,1,2,1,1,6,2,7,1,7,1,3,6,3,6,4,3,5,2,6,3,7,2,4,4,4,4,4,2,6,7,7,5,5,4,3,2,1,17,12,10,82,40
1,21,Other Spiritual,1,1,2,2,1,1,2,1,1,2,6,1,7,1,7,2,4,2,5,3,5,2,6,3,6,2,5,3,3,3,3,3,3,3,7,7,6,4,3,3,2,2,3,14,9,9,72,40
1,23,Christian,4,3,5,5,5,4,5,5,5,3,1,7,1,7,2,6,2,5,3,6,3,5,4,5,3,6,3,4,3,3,4,7,5,5,1,1,2,6,5,5,4,5,5,44,10,17,69,8
1,44,Christian,1,2,2,1,1,2,2,1,1,1,4,7,4,2,4,5,2,7,1,1,4,2,7,5,4,3,5,3,3,3,4,7,1,7,1,6,3,6,7,4,1,4,3,14,10,15,68,22
1,45,Christian,4,3,5,5,5,5,5,5,5,3,1,7,1,7,1,6,2,5,2,5,3,4,5,2,4,5,5,4,4,3,4,6,6,7,1,1,2,6,6,5,3,4,3,45,11,19,59,7
0,51,Christian,3,3,5,5,5,4,5,5,5,5,3,7,3,7,1,7,3,5,3,5,2,6,3,5,3,5,4,3,4,1,4,7,5,6,1,1,1,5,5,6,5,5,4,45,9,18,69,10
1,27,Christian,4,3,5,5,5,5,5,5,5,3,3,6,2,7,1,7,2,5,2,6,3,6,3,5,4,5,3,4,4,3,4,6,6,6,2,1,1,6,6,5,5,4,5,45,11,18,72,10
1,21,Christian,3,3,5,5,5,5,5,5,4,3,2,7,1,6,2,7,3,5,1,5,2,5,3,5,3,4,4,5,4,2,4,7,5,6,1,2,1,5,7,6,5,5,4,43,10,18,70,9
0,54,Other Spiritual,3,3,4,5,4,5,5,5,5,4,3,6,1,5,2,7,2,6,2,5,4,7,5,3,5,3,5,3,4,3,4,6,6,7,2,3,1,6,6,4,3,3,3,43,11,19,64,12
1,75,Christian,4,3,4,5,5,4,4,5,3,3,3,6,3,7,3,7,1,5,2,6,1,6,4,6,3,6,5,5,4,3,4,6,7,6,2,1,1,7,6,7,4,5,3,40,11,19,79,13
1,27,Christian,4,3,5,5,5,4,5,4,5,5,2,6,1,5,1,7,2,6,2,7,1,7,3,5,4,5,5,5,4,2,4,6,7,5,2,3,1,6,6,7,5,4,3,45,10,18,76,10
1,42,Islamic,4,2,4,5,5,4,4,4,3,1,6,2,7,2,6,2,1,7,1,7,2,7,1,7,1,7,1,7,4,4,4,4,4,4,6,6,6,7,7,6,7,7,7,36,12,12,120,37
1,43,Christian,3,2,2,4,4,4,4,3,3,2,2,2,2,2,2,3,5,5,5,5,6,6,6,5,5,5,6,5,3,3,2,6,2,5,6,6,5,3,3,2,2,3,2,31,8,13,69,23
0,40,Christian,3,5,4,5,4,3,4,4,2,2,6,4,6,5,6,4,5,5,5,6,5,5,4,5,4,5,3,5,4,4,4,4,5,3,4,3,4,3,3,3,4,4,5,36,12,12,82,29
0,72,Christian,5,5,5,5,5,5,5,5,5,5,5,2,6,2,6,4,2,6,2,6,2,6,2,7,2,6,2,6,4,4,3,4,4,4,6,6,4,6,6,6,6,6,6,50,11,12,106,33
1,72,Christian,3,5,4,5,4,5,5,4,5,4,5,5,6,5,5,4,1,5,6,7,4,5,3,7,5,7,6,6,4,4,4,7,6,6,3,3,4,7,2,4,5,3,2,44,12,19,86,26
1,38,Christian,4,3,5,5,5,5,5,5,4,3,2,7,1,5,1,7,2,5,6,3,5,2,6,2,3,4,3,4,4,3,4,6,6,6,1,3,1,6,2,3,2,5,5,44,11,18,52,9
0,45,Other Spiritual,3,3,4,5,5,4,5,5,4,3,2,6,1,7,2,6,1,7,1,7,2,7,1,7,1,7,1,7,3,2,3,7,5,6,2,1,2,7,7,6,7,7,7,41,8,18,93,10
0,45,Other Spiritual,3,3,4,5,5,4,5,5,4,3,2,6,1,7,2,6,1,7,1,7,2,7,1,7,1,7,1,7,3,2,3,7,5,6,2,1,2,7,7,6,7,7,7,41,8,18,93,10
