stress,anxiety,depression,rosenberg,self_kindness,common_humanity,mindfulness,self_judgment,isolation,over_identification,scs_ts
8,6,8,21,10,7,6,17,11,13,60
6,3,4,30,19,15,15,16,12,11,88
7,3,6,32,20,18,18,16,11,8,99
9,4,2,29,18,19,15,15,10,6,99
9,7,6,28,12,10,8,19,16,15,58
12,7,4,29,16,16,11,13,6,14,88
12,10,11,21,12,13,9,18,16,17,61
5,1,6,23,14,11,14,14,14,15,74
12,6,7,26,15,12,11,20,16,16,64
11,7,14,22,13,13,8,20,14,15,63
17,5,13,23,12,7,14,21,17,14,59
4,1,1,29,17,13,13,15,10,14,82
10,5,5,28,14,13,16,19,12,11,79
7,2,3,29,17,13,14,18,10,8,86
17,9,13,28,14,14,12,20,13,17,68
6,4,6,30,22,19,17,14,9,11,102
7,6,5,33,22,12,19,14,7,10,100
14,9,14,17,10,10,11,19,19,16,55
6,1,3,29,14,13,12,18,14,14,71
14,1,7,30,15,10,14,21,16,16,64
14,8,8,28,11,9,7,12,12,17,64
7,9,5,26,6,8,12,22,16,13,53
8,2,6,27,18,19,16,16,12,14,89
8,5,10,26,13,17,12,16,15,14,75
13,9,13,24,16,14,12,21,18,16,65
9,5,10,24,10,10,14,14,10,6,82
8,7,7,30,10,11,8,17,15,16,59
12,9,8,24,13,8,6,19,16,15,55
9,4,9,22,11,11,10,13,12,12,73
8,1,3,28,15,13,13,18,14,15,72
10,11,6,29,20,12,12,16,14,14,78
6,2,2,28,9,8,9,19,16,18,51
6,5,2,33,19,16,14,19,13,7,88
7,9,6,36,13,11,15,17,16,14,70
14,8,11,21,5,6,7,24,20,19,33
7,0,7,23,12,11,11,13,14,12,73
6,3,6,30,14,13,12,19,15,8,75
7,3,3,29,15,14,13,18,15,14,73
18,7,13,29,14,10,16,21,17,15,65
4,3,6,30,19,18,13,12,14,12,90
17,12,13,22,14,10,7,22,16,20,51
11,8,13,18,13,10,14,20,16,16,63
17,9,14,19,7,9,7,23,17,16,45
9,3,8,37,22,16,10,13,15,11,87
11,6,8,24,10,8,8,23,19,13,49
3,0,4,28,20,10,16,15,15,13,81
21,19,18,18,9,8,11,25,20,19,42
10,9,7,22,10,8,8,17,14,17,56
9,4,6,28,15,13,13,12,16,13,78
14,6,8,26,19,15,12,22,15,18,69
8,2,4,37,17,13,13,15,10,10,86
6,6,4,22,10,12,14,22,12,13,67
20,9,13,24,13,9,14,17,16,12,69
16,8,14,18,9,8,6,22,20,19,40
18,20,10,22,14,11,10,15,16,14,68
13,11,14,27,15,9,10,16,11,11,74
13,15,13,22,19,16,16,13,12,8,96
14,10,12,21,10,11,9,15,14,11,68
23,10,17,22,11,10,9,18,13,14,63
17,11,15,29,9,8,10,19,16,17,53
26,17,18,19,19,12,8,11,11,20,75
19,20,14,21,13,12,12,15,11,15,74
14,12,9,19,23,19,20,9,5,7,119
25,20,28,38,5,4,8,25,20,20,30
18,16,19,23,14,13,15,17,14,15,74
13,8,10,11,22,18,15,11,11,16,95
15,10,22,28,10,6,6,23,17,18,42
13,12,9,12,20,15,17,10,6,6,108
18,17,19,22,13,15,11,13,10,14,80
18,17,19,22,13,15,11,13,10,14,80
18,17,19,22,13,15,11,13,10,14,80
18,17,19,22,13,15,11,13,10,14,80
10,7,12,19,17,10,13,8,7,11,92
20,23,15,23,12,12,9,14,12,13,72
28,28,28,34,5,7,8,25,20,19,34
21,20,21,22,9,10,11,17,15,11,65
12,10,7,20,16,13,15,12,14,10,86
22,19,23,31,15,16,12,24,19,19,59
16,15,14,25,10,10,14,18,14,10,70
14,9,9,23,14,17,16,18,10,8,89
20,17,12,25,10,8,9,21,18,16,50
24,13,18,25,9,11,11,21,13,14,61
14,16,8,23,22,16,15,11,15,11,94
12,8,10,17,19,14,15,10,7,8,101
13,16,10,12,20,19,12,22,12,18,77
22,8,16,30,15,13,11,20,12,14,71
22,8,16,30,15,13,11,20,12,14,71
22,8,16,30,15,13,11,20,12,14,71
22,8,16,30,15,13,11,20,12,14,71
11,8,10,17,19,14,15,14,11,14,87
20,14,23,30,9,7,9,24,17,16,46
14,12,10,24,10,10,7,19,13,11,62
16,15,16,17,17,13,14,17,17,12,76
19,21,21,31,10,16,8,23,15,18,56
16,8,16,24,15,16,15,17,12,14,81
21,24,16,26,6,7,10,23,14,15,49
17,15,15,21,20,17,15,13,17,8,92
17,13,10,18,18,14,16,11,11,12,92
9,7,9,12,6,9,16,9,11,9,80
14,10,11,19,21,10,11,9,7,9,95
12,13,12,23,11,9,8,11,10,10,75
23,16,18,26,12,9,9,15,14,15,64
19,13,14,24,11,15,12,21,15,12,68
15,12,12,19,18,13,13,18,16,16,72
9,8,13,28,16,13,12,18,16,15,70
20,16,17,26,15,10,14,15,11,13,78
28,24,26,26,11,12,16,25,17,15,60
14,10,9,11,24,10,19,8,5,5,113
14,16,13,23,15,14,17,20,11,10,83
22,8,16,30,15,13,11,20,12,14,71
22,8,16,30,15,13,11,20,12,14,71
22,8,16,30,15,13,11,20,12,14,71
22,8,16,30,15,13,11,20,12,14,71
20,19,19,26,13,12,10,18,14,16,65
16,13,18,25,15,10,12,20,17,18,60
13,17,18,21,9,8,15,19,11,9,71
10,9,9,22,14,16,16,19,7,14,84
14,14,11,21,20,15,16,13,7,7,102
14,14,11,21,20,15,16,13,7,7,102
14,14,11,21,20,15,16,13,7,7,102
14,14,11,21,20,15,16,13,7,7,102
28,28,25,31,10,7,6,25,20,17,39
25,13,12,28,14,12,14,17,19,14,68
17,14,15,31,13,11,10,25,19,19,49
17,11,10,32,6,4,10,21,18,13,46
14,12,12,26,10,12,17,23,15,12,67
14,12,12,26,10,12,17,23,15,12,67
14,12,12,26,10,12,17,23,15,12,67
14,12,12,26,10,12,17,23,15,12,67
19,16,11,12,25,18,16,5,6,9,117
27,18,18,22,19,17,20,21,16,19,78
17,10,19,33,9,7,7,21,15,17,48
13,12,9,24,14,13,12,19,16,17,65
27,26,27,28,11,14,14,23,20,19,55
23,17,21,26,9,10,10,22,15,16,54
15,17,11,12,16,11,13,10,9,10,89
15,17,11,12,16,11,13,10,9,10,89
15,17,11,12,16,11,13,10,9,10,89
15,17,11,12,16,11,13,10,9,10,89
23,21,18,26,13,14,11,18,14,15,69
19,15,17,21,13,10,11,19,16,14,63
13,10,10,22,19,17,16,15,10,9,96
16,13,13,22,13,5,12,15,9,10,74
17,16,14,28,5,4,5,23,17,15,37
18,17,19,22,13,15,11,13,10,14,80
18,17,19,22,13,15,11,13,10,14,80
18,17,19,22,13,15,11,13,10,14,80
18,17,19,22,13,15,11,13,10,14,80
21,22,19,21,22,14,12,14,10,13,89
17,10,17,28,12,12,8,21,17,19,53
19,19,15,22,17,18,16,12,9,11,97
20,15,11,24,16,8,7,17,16,20,56
11,9,7,12,25,16,20,6,6,8,119
14,14,11,21,20,15,16,13,7,7,102
14,14,11,21,20,15,16,13,7,7,102
14,14,11,21,20,15,16,13,7,7,102
14,14,11,21,20,15,16,13,7,7,102
19,22,16,23,19,14,16,16,18,14,79
18,15,12,16,15,13,11,11,12,9,85
17,18,21,29,6,8,8,22,20,19,39
19,16,10,30,17,15,9,15,12,14,78
19,18,15,24,19,13,17,8,13,9,97
15,17,11,12,16,11,13,10,9,10,89
15,17,11,12,16,11,13,10,9,10,89
15,17,11,12,16,11,13,10,9,10,89
15,17,11,12,16,11,13,10,9,10,89
26,19,24,30,11,7,6,22,19,18,43
19,9,17,25,13,11,12,16,16,15,67
20,22,25,23,21,10,16,10,16,11,88
17,11,12,14,22,13,17,10,15,12,93
22,10,21,36,5,4,4,25,20,20,26
22,15,20,28,8,7,8,25,12,20,44
11,9,17,27,10,10,9,13,8,11,75
11,8,9,20,12,10,9,18,18,14,59
17,13,19,22,14,11,12,15,16,13,71
18,19,16,15,15,18,12,10,8,17,88
13,10,10,21,16,10,13,15,10,11,81
27,20,21,33,12,8,12,18,15,19,58
15,13,15,28,17,10,7,23,18,16,55
14,13,13,14,23,12,16,14,4,6,105
24,26,24,26,8,13,12,23,15,19,54
16,14,11,18,13,15,13,14,10,11,84
18,17,13,23,16,18,16,17,8,11,92
19,22,23,10,18,12,14,14,13,14,81
13,7,14,24,23,11,14,11,17,13,85
18,13,18,30,14,8,7,14,17,13,63
17,14,14,20,17,11,4,16,9,16,69
16,18,15,26,10,9,13,23,19,14,54
16,12,15,21,5,11,14,23,17,10,58
18,9,12,17,24,17,12,10,14,12,95
19,13,15,24,7,7,6,21,16,19,42
14,12,12,26,10,12,17,23,15,12,67
14,12,12,26,10,12,17,23,15,12,67
14,12,12,26,10,12,17,23,15,12,67
14,12,12,26,10,12,17,23,15,12,67
14,13,10,17,24,17,17,13,13,11,99
19,20,16,26,5,4,4,5,4,4,78
13,8,13,20,17,14,19,19,13,13,83
12,10,14,18,19,17,16,10,14,8,98
17,23,10,16,12,11,14,15,12,14,74
14,18,11,18,21,18,12,15,11,9,94
15,12,16,20,14,19,15,13,12,12,89
26,17,27,32,6,5,5,25,20,20,29
10,7,10,25,21,18,17,22,18,18,76
15,9,10,10,23,19,18,14,4,7,113
